Minisector,GAS,SAI,Fastest
0,262.1746533361165,260.659916939346,GAS
1,134.83518092320585,127.14849104761905,GAS
2,187.21899857492448,193.06386710275288,SAI
3,240.29583303111113,244.59407067304798,SAI
4,260.32611911774706,251.31279354048883,GAS
5,192.80033963977456,171.52417871879095,GAS
6,141.43136747456995,142.5532384792381,SAI
7,178.7210426303963,173.22334779649302,GAS
8,103.43042975949322,98.18698563385846,GAS
9,76.51525203355534,74.01992164292609,GAS
10,90.80037647267878,94.25895057961624,SAI
11,164.92716891480885,182.7818885202333,SAI
12,237.20611131259258,247.0269629525611,SAI
13,262.9630977776779,268.8102562461538,SAI
14,278.40316191876315,277.9852563692308,GAS
15,126.17588927550747,109.85397762193955,GAS
16,126.68734733123127,141.13895963556146,SAI
17,188.58139490450156,184.80546930974782,GAS
18,188.54535003571064,190.502499465285,SAI
19,217.45173333431842,195.4958645979883,GAS
20,126.99572300567652,126.96899393494155,GAS
21,118.09909665265606,106.73046637744005,GAS
22,86.1608230564057,93.55155052707832,SAI
23,187.25467188124202,197.33016966793468,SAI
24,241.9806340307961,250.28396396799465,SAI
25,257.6374976,,GAS
