Minisector,BOT,KVY,Fastest
0,288.13192754157564,305.60086992856026,KVY
1,304.07687498666667,331.9849206349206,KVY
2,299.73269465874426,323.66804511278195,KVY
3,191.88316115669244,180.94011213796472,BOT
4,229.63937714871795,218.34788745239126,BOT
5,214.97499328779276,205.12456364698411,BOT
6,199.2441629984639,192.57156957469073,BOT
7,224.23439076751444,214.38517325660462,BOT
8,257.8135166984127,254.82112542199957,BOT
9,261.7654235986127,258.86885323887867,BOT
10,183.11416100707632,175.6578495059228,BOT
11,244.89167801555072,242.25138899753088,BOT
12,123.11551981601697,117.56066273039323,BOT
13,230.83262873191913,231.20773828106107,KVY
14,271.0852182663038,274.3095668415757,KVY
15,278.9130435060869,280.283531784127,KVY
16,216.15018019074668,210.32660872844846,BOT
17,200.37307044632618,190.2263948457417,BOT
18,273.4976095688989,273.2214285714286,BOT
19,294.8672889004329,297.1739190495556,KVY
20,304.69949403428575,308.4855898749663,KVY
21,304.01270837333334,308.53499999999997,KVY
22,251.63309525942856,260.5026803051735,KVY
23,122.74989307123809,117.88036794719306,BOT
24,248.83412266201094,244.26941945396825,BOT
25,275.90000274285717,276.88124960000005,KVY
