Minisector,RIC,HAM,Fastest
0,330.4401903518286,323.8878786181818,RIC
1,345.77773629059726,331.33901586475565,RIC
2,354.6400595657143,327.95221870822513,RIC
3,214.65101976647406,198.56849235203228,RIC
4,114.06438898316948,123.71951022414713,HAM
5,263.9444697003173,265.20335584197534,HAM
6,301.58909978509445,301.86765845079367,HAM
7,320.01666676363635,316.330615884058,RIC
8,285.46727838495315,282.2211918872381,RIC
9,145.9950447079028,151.71935126241135,HAM
10,222.1818169717217,228.54866196686868,HAM
11,215.1611975858379,223.90153553794164,HAM
12,196.38648888612022,203.98152106674453,HAM
13,267.0220124222169,269.59656725660903,HAM
14,307.0293545126294,307.0282773542095,RIC
15,322.3994943897445,320.8925724289855,RIC
16,264.077931654321,273.6947640647119,HAM
17,200.54355684079223,212.5829630937951,HAM
18,267.34783976296296,273.3956182142413,HAM
19,307.0891075203159,308.319642584127,HAM
20,322.67673162251083,321.9166898929059,RIC
21,313.73250440082813,309.85215883174607,RIC
22,207.37451375405217,216.24986729588335,HAM
23,259.0996216371178,266.3740735209877,HAM
24,304.11682683076924,305.4623509142857,HAM
25,,318.0,HAM
