Minisector,COL,BEA,Fastest
0,294.0166708881957,296.46930316880116,BEA
1,152.06264740489408,154.75790322850105,BEA
2,155.4024362881446,154.05991419221374,COL
3,225.95150094051866,226.96495623089731,BEA
4,287.4639826841834,289.75450081477635,BEA
5,289.3266337015873,287.7701729521072,COL
6,143.52237664655482,140.15377174162106,COL
7,136.39099626202983,132.36217717249878,COL
8,134.84908234653798,131.49661127953772,COL
9,183.67966159730778,188.46703863053764,BEA
10,126.10738728696383,128.2534815062519,BEA
11,128.57561034975637,119.917535801207,COL
12,159.64050701369004,167.66146513037242,BEA
13,267.0062365564983,269.5123675346966,BEA
14,289.1859000608103,292.9755366698605,BEA
15,144.12365656329547,138.85610854102134,COL
16,203.80676088459694,197.23614624182295,COL
17,166.4748924248226,173.75461708568034,BEA
18,267.4681775193651,274.1643456758288,BEA
19,293.60259889278166,299.18798724155846,BEA
20,309.10848661660765,314.0903004000029,BEA
21,319.4825268182857,322.5934771225397,BEA
22,325.64307533079364,326.2678950025731,BEA
23,328.33944448,328.617040630392,BEA
24,326.5700060409069,327.4537246666667,BEA
