Minisector,VET,MAG,Fastest
0,276.2537085399324,271.01669932308187,VET
1,294.80658435534974,288.9573803553713,VET
2,300.62896361059313,293.38848050196077,VET
3,133.24351528974472,129.76662674332192,VET
4,198.5633762311766,193.89512988742382,VET
5,263.19203767600266,256.82495869374645,VET
6,143.46360931992947,144.2407249201559,MAG
7,209.73292160269392,199.99707194494493,VET
8,265.8100683637724,257.8811085295924,VET
9,284.9473814136178,280.83588920769466,VET
10,241.8411497892633,239.97602913162058,VET
11,183.665357923579,184.54914030273278,MAG
12,192.45105927723824,187.37296898876386,VET
13,145.91956346712004,145.18457105039366,VET
14,176.59028013336248,171.4374729393868,VET
15,161.69230271274958,155.1774421859133,VET
16,218.00444311267276,212.87000054285292,VET
17,236.82664662961696,239.6370563393657,MAG
18,239.82633795342562,236.52287665093345,VET
19,249.4122396102248,241.88707423966986,VET
20,142.34309587290016,141.60006300438954,VET
21,139.06647638737095,136.45196044158797,VET
22,168.86321195570684,165.4913099093656,VET
23,151.02930861308178,147.05634084864676,VET
24,232.822280406797,228.12540009976883,VET
25,262.32142628571427,,VET
