Minisector,SAI,BOT,Fastest
0,317.5637437154346,316.1644002429052,SAI
1,326.00904966469506,325.2021963687619,SAI
2,321.83153778442147,322.45658109014073,BOT
3,184.17600921255888,189.82981070506028,BOT
4,125.8892529988628,120.87733748637532,SAI
5,261.59980368501596,262.6141516266667,BOT
6,298.62520737501507,297.03180141489275,SAI
7,312.49854831918975,311.6316230085125,SAI
8,268.1770744383261,279.968289947013,BOT
9,139.31340684357752,137.10552037540052,SAI
10,209.55782793224708,208.2186320382894,SAI
11,209.75003486452894,207.96163701713473,SAI
12,193.6940788943653,188.59923752477746,SAI
13,265.25033835326644,264.252947163175,SAI
14,300.8386540836458,300.35076753684206,SAI
15,312.30024986983653,314.06922221511115,BOT
16,256.4276986107137,252.77148875869364,SAI
17,211.04163897072078,204.25098954708164,SAI
18,270.9847263232778,268.9285332876929,SAI
19,304.9638447895739,303.929292,SAI
20,315.57901158466467,315.34040190623136,SAI
21,296.62425736630087,295.19562342183576,SAI
22,204.1284517960189,194.42086550578534,SAI
23,264.51435137186456,263.21228740761904,SAI
24,301.05511586279374,299.3675936469642,SAI
25,,309.4875,BOT
