Minisector,SAI,MAG,Fastest
0,304.81765782588235,301.36609128507934,SAI
1,252.05483067029476,242.2366626133619,SAI
2,126.33874823819919,131.2756090156333,MAG
3,239.22700824130965,235.89182358952382,SAI
4,187.7102633707719,187.1024336944799,SAI
5,248.54746901351473,249.01670782655032,MAG
6,231.2153717757647,223.3985376945372,SAI
7,254.08393377645712,248.8653639925178,SAI
8,289.88341328761766,286.7285107067372,SAI
9,207.75549681962482,212.0916728035747,MAG
10,198.68408864420346,196.6748797485208,SAI
11,270.7999320480149,272.4924108219202,MAG
12,209.51958495142858,205.286568203813,SAI
13,246.80769101418002,242.54598377348827,SAI
14,288.67997888487616,289.58434479277867,MAG
15,305.48579844697264,314.64845375125134,MAG
16,306.28371195151516,321.25716222651783,MAG
17,205.85423580372196,195.39587562002512,SAI
18,259.92816744671205,252.93268233904763,SAI
19,293.40875616253544,298.820719695862,MAG
20,307.6660323090909,323.863793422666,MAG
21,309.6445912604003,326.6445184939829,MAG
22,149.98124104055512,147.45824424663707,SAI
23,228.8701161611296,225.28419481453105,SAI
24,286.6228032163634,294.4084309736811,MAG
25,299.0,311.85714285714283,MAG
