Minisector,BOT,HUL,Fastest
0,319.7487155729323,318.8785716825397,BOT
1,327.2125,324.9902777481482,BOT
2,323.8370699936508,318.7718072322233,BOT
3,167.34453977512507,177.74483837883596,HUL
4,140.01978873924799,135.73931288115944,BOT
5,271.47310970289703,268.5664802029471,BOT
6,302.02810759164976,298.79916688,BOT
7,315.2281250666666,305.8299603809524,BOT
8,249.51784271992773,267.35538057142855,HUL
9,156.3597515229451,155.21698753456343,BOT
10,224.86050862983322,216.17758591264368,BOT
11,232.23747350823774,229.0187464678648,BOT
12,210.57481695792904,206.39485752303938,BOT
13,279.19873238260874,273.50359265783754,BOT
14,310.0471175136869,304.29101493696146,BOT
15,316.6817981192982,311.05119050158726,BOT
16,260.91475595555556,257.99986934989647,BOT
17,215.5724509335409,212.79207081727247,BOT
18,277.9448055757576,276.7394931478261,BOT
19,308.58509902509945,307.47779817912533,BOT
20,321.7124060551379,320.3579364910053,BOT
21,306.2959092364648,300.5751169538221,BOT
22,219.52032028899833,210.99730335961866,BOT
23,273.5589885866329,267.2512479885486,BOT
24,306.2400794920635,301.33229130666666,BOT
25,,310.87618986666666,HUL
