Minisector,BOT,RIC,Fastest
0,291.80781313333335,283.5507011226891,BOT
1,131.38741780194042,124.79870251004914,BOT
2,169.23645725714286,154.60491111632217,BOT
3,224.46043702032722,211.26539826086955,BOT
4,173.83594391247217,163.85391737865913,BOT
5,248.2356474074074,243.68223724912278,BOT
6,209.90156364444445,218.91497187138017,RIC
7,147.6128606710106,132.98210595775964,BOT
8,242.2009915767196,226.73770821333332,BOT
9,279.60212787856415,274.5620043174603,BOT
10,291.3754764088889,278.87270643790987,BOT
11,155.9709458790539,148.28957351029186,BOT
12,226.35702006971707,215.6330964020767,BOT
13,272.83009214814814,270.4696634749,BOT
14,280.57195038285715,269.8464274952381,BOT
15,107.48994881269842,101.07801895325672,BOT
16,221.0779806273685,211.61943971507355,BOT
17,268.8629623703703,264.94606530370373,BOT
18,290.41838836265435,291.9668653206349,RIC
19,300.1167145397361,302.7127838525779,RIC
20,305.4899998577778,308.3977685463637,RIC
21,298.0418231239695,294.968749,BOT
22,164.0843325514371,157.6619736608299,BOT
23,233.09763419316323,234.19210560000002,RIC
24,276.6917798652159,274.30187397242787,BOT
25,,287.0625006222222,RIC
