Minisector,PER,OCO,Fastest
0,269.52387246547863,272.32795919774844,OCO
1,291.6524077035498,292.3969236021027,OCO
2,283.4763895163823,269.02184759259256,PER
3,156.73931747887957,153.74821679238028,PER
4,192.30004616097108,193.301030363826,OCO
5,167.8112922816259,167.7440637937778,PER
6,157.3229982556391,157.92827434052097,OCO
7,183.28128014943348,186.51460042031772,OCO
8,235.24137475566883,238.39461706385686,OCO
9,229.35852198772457,218.78199864760197,PER
10,141.34639558919247,136.52990632397206,PER
11,218.3741441611729,216.2995288485728,PER
12,104.43311963228987,111.53576186705138,OCO
13,212.7929616336939,207.6135208044954,PER
14,264.9914977004316,262.9516283262338,PER
15,272.9281378937198,273.47723133777777,OCO
16,169.79553783015643,175.13015747494498,OCO
17,152.1582498030044,153.0050398607522,OCO
18,250.0329074333054,247.642751644622,PER
19,281.2033806714834,279.65847828843806,PER
20,294.56862772298365,293.43512988070177,PER
21,287.9401655185083,283.30417545311144,PER
22,232.3840602748924,237.78759879346939,OCO
23,100.17622373091719,100.2087664790335,OCO
24,216.44392655069146,212.31390419003694,PER
25,254.520832,255.74874822399997,OCO
