Minisector,ALO,HAM,Fastest
0,272.75116154434784,274.4716281556254,HAM
1,238.3336470420052,257.6925536872727,HAM
2,125.31371942984447,122.47622987943018,ALO
3,162.26512110752745,177.30802676060605,HAM
4,197.697578270309,198.4244026800586,HAM
5,195.51758939809523,204.00997630927912,HAM
6,263.4139812207792,266.0606750520755,HAM
7,283.7954510008318,286.82619021544974,HAM
8,224.18205504296296,253.29790478572988,HAM
9,147.09605964344274,152.43208891108452,HAM
10,119.72061180758348,124.20145211298336,HAM
11,165.26408088323134,165.12073728455186,ALO
12,245.34108852567783,248.46780236606062,HAM
13,152.11570388385587,167.20568595015808,HAM
14,146.8791778394167,153.31345147107854,HAM
15,100.17471293916296,113.69905494872768,HAM
16,228.58428637391975,213.67334816212653,ALO
17,238.01146974962964,249.65233784550895,HAM
18,127.43418054216596,130.96850460137009,HAM
19,238.87159644728675,234.94495675246404,ALO
20,274.0273261801673,278.3550591977897,HAM
21,199.30885401707272,227.2085408721352,HAM
22,146.16474046285427,147.12454034471483,HAM
23,220.71942222999178,222.02843528853074,HAM
24,232.91224060720498,228.81193556265094,ALO
25,,259.720832,HAM
