Minisector,PIA,LIN,Fastest
0,290.51780250482756,300.8585726394314,LIN
1,143.98883626539126,150.96525402633384,LIN
2,232.78372664182197,216.7666972521739,PIA
3,293.00932532486775,285.1151402766123,PIA
4,315.46585942,318.2293171968298,LIN
5,313.6420006878455,318.67460219272726,LIN
6,148.39278150803273,184.44554723102038,LIN
7,137.08131584,114.373431453405,PIA
8,261.5982791043028,253.0809696626602,PIA
9,298.52587854023307,296.478485682224,PIA
10,294.04525061293236,302.77848207148463,LIN
11,130.5213345323094,141.9680690683765,LIN
12,191.63458036705515,168.93108786329503,PIA
13,247.90416648366013,244.47052647618483,PIA
14,183.47955498198718,181.5149472886819,PIA
15,196.312386932198,186.53046334553306,PIA
16,191.8799753075109,192.1908101442539,LIN
17,236.7274502338209,225.460954499371,PIA
18,281.0121915259259,278.0279543138877,PIA
19,294.97472659210626,297.2323791916883,LIN
20,246.61165589808613,243.25259365254777,PIA
21,202.0278432958242,197.47712392457422,PIA
22,191.2991444805482,180.83870251428573,PIA
23,267.9781651580419,266.62818216398,PIA
24,303.01685743521557,304.7871967935354,LIN
25,,311.0,LIN
