Minisector,STR,BOT,Fastest
0,278.51955380796505,283.97678788571426,BOT
1,124.7220337862707,118.22075792067686,STR
2,152.8884954489138,158.41768536934242,BOT
3,215.046234309638,210.0970926026331,STR
4,158.45798913366116,158.93535443455784,BOT
5,241.4474663064935,239.06835622654688,STR
6,217.17007622194618,203.1889945500621,STR
7,128.4110944859011,129.88966328455285,BOT
8,228.60891685068324,237.15287871390478,BOT
9,279.7804865725605,281.8198147218222,BOT
10,286.26773689705277,286.4319217189803,BOT
11,138.0467976611092,139.5328493087428,BOT
12,210.8932491948029,216.72579310545453,BOT
13,266.8860720839506,268.08238830650504,BOT
14,262.06824596,265.49681814210857,BOT
15,98.33698440503859,101.08879218186368,BOT
16,208.74340697808012,219.3934774109091,BOT
17,271.5784946733673,271.0259850745218,STR
18,300.3052162318851,298.54470403492064,STR
19,318.10854161333333,313.4594875977143,STR
20,328.38541659076924,322.3549550514286,STR
21,279.0081464828617,284.81539914166297,BOT
22,142.563310720487,142.16146654441172,STR
23,231.96213866020204,230.4922021232345,STR
24,281.8874537713563,279.90282760963584,STR
25,298.6937472,296.88666624,STR
