Minisector,TSU,OCO,Fastest
0,305.99691068552187,320.6057869748148,OCO
1,207.17595158260872,196.31306079179487,TSU
2,142.546815382986,146.08284648998168,OCO
3,214.6160006643194,215.0227404335601,OCO
4,164.25910324805366,158.77600148999574,TSU
5,178.93969410036942,186.73517828604025,OCO
6,254.50576796810861,255.18247536187175,OCO
7,280.91279685188215,279.8146822506205,TSU
8,288.9985416087273,286.13959568941175,TSU
9,262.66185291851855,264.3495553185185,OCO
10,246.62075856,251.28728279111112,OCO
11,237.78430999139331,229.78164674165413,TSU
12,197.75446665179507,196.52017006083543,TSU
13,126.43988504224664,125.68186289258433,TSU
14,138.31149338801688,133.71858465735448,TSU
15,173.92717101355626,190.18027524435638,OCO
16,250.69606253268466,262.0489841082707,OCO
17,241.2086132505397,235.9575435587417,TSU
18,109.91091068432057,110.0676132353838,OCO
19,198.0598069311006,201.90364349930778,OCO
20,201.82126732883117,197.06330129230767,TSU
21,238.68128470224312,239.73578989640737,OCO
22,266.7355280135887,277.0141106793651,OCO
23,287.16526164388165,298.29374577069746,OCO
24,300.1124422526698,315.86302320798035,OCO
