Minisector,GAS,VET,Fastest
0,273.6565886489591,272.66372960575154,GAS
1,298.37691579469333,297.5304823017544,GAS
2,309.98823504313725,310.93041811466054,VET
3,316.2509802039216,319.75841917355507,VET
4,320.2401960336134,324.37968746666667,VET
5,321.0041669019608,326.41822913333334,VET
6,210.05469160834983,215.0529625229753,VET
7,108.71982469054171,106.50830992882456,GAS
8,183.8314342559291,182.92467715274347,GAS
9,263.99636396158706,263.3488685539983,GAS
10,291.6379381894737,292.42879408856777,VET
11,170.39950670981005,174.83240194085445,VET
12,98.12008511858693,96.86584093229494,GAS
13,116.06462531906068,116.23614725329878,VET
14,221.54230697002683,224.81534727381995,VET
15,188.1714283809524,189.24335634870073,VET
16,224.59983665764491,225.4341601572012,VET
17,181.30281800126983,181.8325569287435,VET
18,241.3590965128022,241.17069739220779,GAS
19,281.8323300170426,281.7345527829018,GAS
20,250.72058016507938,254.31414200001194,VET
21,145.85522701154468,147.557538971702,VET
22,97.92724274157483,96.70103082934737,GAS
23,125.64913465770543,124.47478605373297,GAS
24,224.27300562893984,229.05491078095238,VET
25,257.24999679999996,,GAS
