Minisector,PIA,HAD,Fastest
0,287.48670923683375,293.0680908933333,HAD
1,297.866506747176,306.215882247873,HAD
2,303.9552695215686,310.9052314646913,HAD
3,297.34785030614194,305.37185102222224,HAD
4,202.82049808816328,189.74236932307397,PIA
5,221.91400942185876,222.21088890349208,HAD
6,267.9627413977489,270.853190769723,HAD
7,268.5303625950877,269.73501248677246,HAD
8,200.4229862728205,196.04838371739308,PIA
9,142.5370853450623,145.2148371460033,HAD
10,183.80200310935643,182.02510178780116,PIA
11,263.47004988730737,264.2637109798303,HAD
12,249.16568049709727,248.24151847417397,PIA
13,229.6677571534083,224.94802676860027,PIA
14,270.50268117471865,271.539128662189,HAD
15,176.5097914652215,171.6644734244541,PIA
16,223.70785869775239,213.8727921268816,PIA
17,235.77347572760934,239.41600146782108,HAD
18,135.52121438231455,129.55827257438693,PIA
19,242.9923924013822,244.15738466444267,HAD
20,283.324455203609,286.92440674136884,HAD
21,267.1693714622745,247.22009615451427,PIA
22,144.70685773645022,143.08395587565266,PIA
23,220.11000155647076,214.26863122813148,PIA
24,268.9444053942857,271.1546224332376,HAD
25,,284.95000319999997,HAD
