Minisector,STR,HUL,Fastest
0,271.29917128707484,276.58203174015955,HUL
1,291.4311856409019,295.81086846245455,HUL
2,289.25038882133333,294.06213161126175,HUL
3,181.31051166773628,187.24293529128292,HUL
4,123.40166649010966,123.27955691886905,STR
5,236.83093555977305,238.859811372043,HUL
6,280.5622191634804,284.59656874508613,HUL
7,297.6505783555555,290.36746802051283,STR
8,184.04693897223765,179.19194959070674,STR
9,140.4151092735206,141.46638034051148,HUL
10,249.39350542111444,251.7498623079108,HUL
11,285.25727931750384,287.0564842431952,HUL
12,298.1837617859048,300.5828158767175,HUL
13,278.781646510483,286.869333248,HUL
14,298.02302403047617,300.62132906666665,HUL
15,302.9518529128885,305.84119657807054,HUL
16,253.19160987584718,256.90341090328883,HUL
17,220.01008137922355,224.67239246185852,HUL
18,279.17885846913583,281.0660343466289,HUL
19,305.20713608861126,303.78027777777777,STR
20,312.0032608,301.5163461505437,STR
21,226.5167706518294,226.0028414527991,STR
22,257.40379973601864,256.5353734421769,STR
23,136.49415639439167,135.82769938687656,STR
24,209.8562730165405,216.04081657703293,HUL
