Minisector,BOT,VET,Fastest
0,259.4783976120412,262.0267045347166,VET
1,213.9617801717655,213.94202541396538,BOT
2,226.27815879412563,225.458363659015,BOT
3,263.58132107595145,264.7493842096451,VET
4,276.14176223384123,278.78377792451397,VET
5,223.35402905143056,232.92407201253167,VET
6,98.63722102801293,97.04005135723467,BOT
7,188.34329429464552,184.16700098693022,BOT
8,273.1328143192695,269.167177511826,BOT
9,296.47731375821115,293.673645056876,BOT
10,304.70970331191387,301.06536143582116,BOT
11,306.07894736842104,299.6387284880922,BOT
12,110.86992876448794,113.69374784106286,VET
13,218.37305356643844,218.58928540814628,VET
14,285.9143145421802,277.41213421018773,BOT
15,311.6296766936579,296.42810677313105,BOT
16,230.4203936784322,228.0756810685321,BOT
17,129.48669238229627,127.02937315416587,BOT
18,163.07199280367527,155.58414353797997,BOT
19,255.76645387319303,256.4653527505874,VET
20,166.3558940571054,159.64262812188306,BOT
21,133.6442402419674,129.88833368451515,BOT
22,206.55164972256895,214.42134946966846,VET
23,212.02017942694496,212.7343525918669,VET
24,172.20940134090446,173.86578222907946,VET
25,231.40833706666666,,BOT
