Minisector,LEC,PIA,Fastest
0,281.16509490784756,281.4335195138087,PIA
1,140.9995821873924,142.34879750102286,PIA
2,218.09368299109232,220.54709851799944,PIA
3,284.83063833925235,281.8105910370025,LEC
4,320.9527356735352,312.2541581098044,LEC
5,307.28530653998047,302.3174077050865,LEC
6,149.15110610492636,149.8033751867376,PIA
7,237.45472132155626,229.28666703005672,LEC
8,108.35926835580719,107.14725296388188,LEC
9,172.0599299017348,179.29825572927575,PIA
10,280.8129018685278,279.3464846014265,LEC
11,302.03925061776664,297.60829359220025,LEC
12,210.96826513572393,196.59418555292538,LEC
13,175.074268743971,183.66249130747497,PIA
14,281.7168758717616,283.55110878594684,PIA
15,313.77793449858586,312.589612981164,LEC
16,326.2399648386755,325.46481023610954,LEC
17,335.29543187704695,333.14558076808635,LEC
18,345.79902214659035,334.10083325055086,LEC
19,351.80381268600956,327.75998021918036,LEC
20,197.1143704343999,173.49305824492862,LEC
21,158.185010225235,186.4099051247237,PIA
22,276.7993358743928,283.164081138551,PIA
23,310.46114530211514,313.89730116860017,PIA
24,319.3692495455704,318.45809938765353,LEC
