Minisector,HUL,HAR,Fastest
0,250.16516877366743,244.97685222665177,HUL
1,283.17166682666664,282.0063492063492,HUL
2,164.33270789526512,172.2717093252151,HAR
3,166.27378647009428,161.11708501247793,HUL
4,253.936418008658,255.50009755028796,HAR
5,265.40978188535564,271.12675848875267,HAR
6,226.7709622645722,224.3653809042097,HUL
7,200.25952724648485,198.80818748298378,HUL
8,161.34220816065425,159.0086008921167,HUL
9,226.10736182748815,215.45499918696623,HUL
10,268.91176314920637,269.2108921234795,HAR
11,127.24012777799298,127.62723852652103,HAR
12,215.74411219613242,214.67557179823632,HUL
13,276.4906928554112,273.99833360039355,HUL
14,295.51562512,295.7502379352381,HAR
15,301.9255314118689,304.18947368421055,HAR
16,227.71083277296472,239.6504804798216,HAR
17,129.77678287565058,128.67038103246713,HUL
18,131.80945235934206,128.18498535184162,HUL
19,120.01694562643344,115.03374458170306,HUL
20,221.07993864691358,222.22228797742503,HAR
21,252.4735902763268,253.71684449623098,HAR
22,225.5688265876543,229.215668096,HAR
23,215.8010628022496,210.38619088625728,HUL
24,136.52413566958845,135.79982466604005,HUL
25,216.24875948219207,,HUL
