Minisector,HAM,RAI,Fastest
0,293.0104818062341,288.7345348011093,HAM
1,297.02574404761907,291.2071247091154,HAM
2,163.97154842532328,157.29858570489893,HAM
3,229.7029217345098,227.26626804789015,HAM
4,278.1059116414882,273.42578832673956,HAM
5,296.47509598243624,293.05864411683797,HAM
6,303.65183023114423,296.82171086503695,HAM
7,158.0035585791946,157.1278026231429,HAM
8,139.05185546691777,140.29674531621,RAI
9,254.3046174014502,250.6214811336789,HAM
10,286.4046000432194,283.18759834890676,HAM
11,295.7705379242145,293.7413262617369,HAM
12,138.96711521788572,144.7455718689406,RAI
13,203.18768580712776,198.3345427330689,HAM
14,259.6736973186638,256.9202833707628,HAM
15,207.18467193275868,192.32716968088084,HAM
16,224.43832284379556,218.37674138258356,HAM
17,216.06354904356434,206.15950607403312,HAM
18,244.41895661652615,243.91865354056617,HAM
19,278.6033792410807,274.64440063621754,HAM
20,295.3858035804466,290.4170992277373,HAM
21,263.57446386894867,254.60023562352512,HAM
22,226.12601813782544,222.02543806533808,HAM
23,212.29627987738124,203.30339540632517,HAM
24,266.6236616719255,260.76699781971604,HAM
25,285.1785728,279.3833333333333,HAM
