Minisector,SAI,NOR,Fastest
0,300.43476364914716,301.10916598897967,NOR
1,319.8289057997321,320.6419484150376,NOR
2,327.5394736280702,328.98250537724783,NOR
3,324.0580829433584,325.01480081676203,NOR
4,190.0564228037178,198.29072389785472,NOR
5,226.86347699535267,224.94657465197236,SAI
6,271.0760028291976,270.64962084848486,SAI
7,267.7088536159127,272.1441975757529,NOR
8,193.08500864770838,194.1680804190476,NOR
9,150.01944916184507,155.89816897405473,NOR
10,192.7877033791917,186.25656722331078,SAI
11,263.4897252586755,263.3299683710145,SAI
12,245.4404175622205,254.96388982222223,NOR
13,228.3000793898713,230.8324017625438,NOR
14,274.3532327098735,275.7825755636364,NOR
15,171.34717424338623,177.05228825496005,NOR
16,220.07438624485505,219.06889786666667,SAI
17,247.02444106424812,243.11831770151767,SAI
18,137.5663043171755,134.79733477026167,SAI
19,246.67948245358468,243.58250139770556,SAI
20,283.4151852392671,284.99668338503403,NOR
21,249.45304665907784,259.6069061158997,NOR
22,144.09604216382422,142.1814007076077,SAI
23,213.5771983270318,202.3131508315619,SAI
24,275.99532358756113,271.4640782509317,SAI
25,,287.4375008,NOR
