Minisector,GAS,OCO,Fastest
0,294.7827147511062,293.47519429549317,GAS
1,302.518541592381,300.48229376822485,GAS
2,224.16433979048756,215.99428390060604,GAS
3,135.05256589511214,131.71873747553656,GAS
4,216.25035410330412,218.20999903942277,OCO
5,165.30483578770662,168.58402945106198,OCO
6,169.48833990587147,164.0666059779123,GAS
7,248.18467959123808,245.88549309495875,GAS
8,278.13452337665444,275.0585727345658,GAS
9,287.38153989967844,283.99081840761903,GAS
10,258.0165205866667,267.6617923785894,OCO
11,238.45133271640603,245.79212301714287,OCO
12,241.6194122011191,246.84417636601307,OCO
13,212.79978721220198,205.43924815852958,GAS
14,132.40469407592852,133.22559653970507,OCO
15,138.80090129260068,139.62807726023377,OCO
16,167.73786661478456,167.9850618460512,OCO
17,252.91037611669435,244.8143741731217,GAS
18,254.85227143728176,257.09859249679596,OCO
19,115.68286487840494,119.34315522919195,OCO
20,187.43585004036618,183.37338478131218,GAS
21,195.1984404670602,200.0952884863298,OCO
22,232.59580265758734,218.48907088145123,GAS
23,269.4358116658462,257.67400896315604,GAS
24,293.0837446596248,277.1634573561673,GAS
25,,288.28249983999996,OCO
