Minisector,PIA,TSU,Fastest
0,293.14651088221575,294.7299877512739,TSU
1,304.0032352685939,306.81581052969915,TSU
2,307.84989511350136,306.3317647730639,PIA
3,187.21917168241347,182.8513619963049,PIA
4,210.29955680737325,211.99565719632503,TSU
5,206.29371939309598,203.42042247214334,PIA
6,263.4265671771518,263.5321316235294,TSU
7,257.8325580939122,247.68250443015057,PIA
8,214.39116911458973,206.50193988230106,PIA
9,211.90685509977828,200.09362761552245,PIA
10,142.091069071722,148.5690138054891,TSU
11,203.67793685933808,183.33547220578876,PIA
12,197.02253884834656,197.59336109709767,TSU
13,252.75282963555557,251.21309981763463,PIA
14,182.8349826847129,176.39981320060406,PIA
15,231.93043520693567,240.71099867054363,TSU
16,281.52753779389326,282.09499796680274,TSU
17,290.1623748407326,293.02111108972593,TSU
18,284.6308645488293,283.7844990457407,PIA
19,271.053720520381,263.5109673545191,PIA
20,271.93724757735635,258.44273127660796,PIA
21,265.95093818512834,267.6017357530864,TSU
22,235.42306064375984,214.48213597479534,PIA
23,206.72607466839617,218.56003491242978,TSU
24,269.36683421164577,273.07905730314667,TSU
