Minisector,OCO,RUS,Fastest
0,272.32795919774844,270.5695008571428,OCO
1,292.3969236021027,288.3324372746215,OCO
2,269.02184759259256,275.37224184126984,RUS
3,153.88721159441795,146.5537477272369,OCO
4,194.28856086629148,186.39628378304118,OCO
5,167.63763148839507,169.75704461218163,RUS
6,157.8368713331189,158.0382105022643,RUS
7,188.94413437908497,184.30963723058898,OCO
8,239.41105944151755,236.40240766908997,OCO
9,217.2903833150019,231.65882725692393,RUS
10,137.37948259452585,139.1765778902664,RUS
11,218.50089222128221,216.8925164768142,OCO
12,110.56909520038471,102.96460724221026,OCO
13,211.00423504449543,211.21393725996097,RUS
14,263.67687599891156,263.41202182834445,OCO
15,270.5570544216133,271.7931952761905,RUS
16,169.98465209933536,165.30457759533508,OCO
17,156.5931405739305,160.5825772562963,RUS
18,251.79931411128868,253.1285783729293,RUS
19,280.88914583141366,276.7319414957576,OCO
20,293.88332070175437,286.43482925051757,OCO
21,282.00306225452897,281.5998064447021,OCO
22,218.80932935520738,230.88137495073622,RUS
23,101.37420197598857,101.28174792865354,OCO
24,225.2609305940983,227.5748034464368,RUS
