Minisector,SAI,OCO,Fastest
0,283.7711319234841,301.34393011757714,OCO
1,299.1244049777778,315.64188586666666,OCO
2,305.8952380571428,322.92892162877024,OCO
3,309.09623598364595,319.9333041066667,OCO
4,256.3494314249625,183.12830333476353,SAI
5,191.46725354300716,220.64353931553754,OCO
6,255.2955627146123,268.91155287272727,OCO
7,282.59571977868484,264.6108661003951,SAI
8,215.42186084377298,184.62330773333332,SAI
9,206.30871036952382,149.3925255799638,SAI
10,137.18303057394638,182.7748947162034,OCO
11,243.39744641074438,260.89185606870797,OCO
12,275.39564389961566,250.06445799246177,SAI
13,217.15511983774564,226.8431235095766,OCO
14,260.31980119432416,266.96022715151514,OCO
15,233.00545021538463,176.37231118602455,SAI
16,178.6510677943342,221.88513978609663,OCO
17,257.73858652753626,246.7517736174221,SAI
18,151.64731462309933,135.5277243567252,SAI
19,204.4091511393674,238.91863658891614,OCO
20,270.0975123406328,279.22182542222225,OCO
21,289.35436500317456,246.07602805151475,SAI
22,157.2198352896661,145.78989089261597,SAI
23,176.5262807927718,214.19920229958052,OCO
24,256.41511910579635,273.96684612655014,OCO
25,,293.425,OCO
