Minisector,GAS,MAG,Fastest
0,287.54014821290235,281.9173811657143,GAS
1,297.97109366666666,290.57382574298776,GAS
2,301.4593137389356,293.38445382633057,GAS
3,302.11718833333333,292.2379902117647,GAS
4,178.29635029487852,179.5689500743776,MAG
5,212.8642709697834,214.89254669648034,MAG
6,242.3073172039239,246.183875168,MAG
7,266.1914513804727,265.7535715689223,GAS
8,264.0288553463659,265.2649129543859,MAG
9,169.10860665502602,169.17517504435398,MAG
10,232.55059423492062,231.64124284081632,GAS
11,138.66921870771904,139.27182407162925,MAG
12,223.7177187336475,222.2769317106188,GAS
13,197.34801984561713,200.30401189135804,MAG
14,212.3437479111111,218.26936428148238,MAG
15,247.90000904830717,252.58806540190477,MAG
16,260.640976641604,262.76568235216814,MAG
17,281.94563639183497,279.97661997037034,GAS
18,139.24621244310777,134.28451292571364,GAS
19,164.29859099954024,162.92755257019968,GAS
20,149.05335695933672,147.28326776708334,GAS
21,172.18887497024255,173.24805451047203,MAG
22,120.70365780813007,117.53551697777777,GAS
23,224.47180572813852,218.90687417850668,GAS
24,265.4580806330485,263.8803830763648,GAS
25,277.9124992,276.15,GAS
