Minisector,SAI,NOR,Fastest
0,303.7939278588573,333.67373303371414,NOR
1,285.1513888888889,307.23036063492066,NOR
2,173.61784951738593,168.81771784623433,SAI
3,196.28823535686274,196.65000053333333,NOR
4,216.28266763022953,222.1749775933879,NOR
5,265.38050001066665,265.01666633846156,SAI
6,235.84899327264367,232.24498253730266,SAI
7,206.02070326666666,209.16784092977244,NOR
8,177.9728629880342,176.97613610984604,SAI
9,156.89249146082892,163.33262451353917,NOR
10,187.10995377777778,188.6448575813046,NOR
11,194.40796935707445,198.4670060385992,NOR
12,242.8473545537919,241.7128305314205,SAI
13,169.0210862967147,167.15673268867744,SAI
14,238.8537703675485,242.4950224694466,NOR
15,275.3251405389947,274.6140622666667,SAI
16,272.58422614603177,270.6371032402356,SAI
17,265.63641991813796,262.12868615384616,SAI
18,251.5529322666667,249.36158542600944,SAI
19,254.8689128431844,251.39052975733753,SAI
20,235.25174160681703,256.94737251747864,NOR
21,164.19026687607908,213.02673867590534,NOR
22,219.14254018031747,198.44709617508474,SAI
23,274.4073830299597,271.5455240674299,SAI
24,295.50652178550723,296.94127857072795,NOR
25,302.0,304.86428556190475,NOR
