Minisector,SAI,ALO,Fastest
0,307.5682278558968,308.0060185481482,ALO
1,240.39563565263092,228.38077235996096,SAI
2,136.1992543633797,130.66613037392537,SAI
3,218.7568548590646,212.47858216589262,SAI
4,263.67083424000003,258.7018711292517,SAI
5,290.4165309317013,286.94500876235054,SAI
6,304.28921568627453,302.8635267427346,SAI
7,293.312497362963,276.1066654933333,SAI
8,178.27445909891628,170.91785912089355,SAI
9,239.57689527272726,238.3635356753623,SAI
10,273.7446335206562,271.8666666666667,SAI
11,267.8929155733333,258.23888569774,SAI
12,206.51833309866666,200.30560873846156,SAI
13,128.47732868611837,123.17853610070665,SAI
14,124.79268758688708,121.22758001346752,SAI
15,163.47324845714286,156.31973041568628,SAI
16,123.40524577513588,125.01391301515102,ALO
17,228.54166784927537,220.6361111111111,SAI
18,190.29884815448278,176.70271509247334,SAI
19,156.69537990364145,163.20307740360425,ALO
20,245.347081347483,243.30871858058558,SAI
21,274.5354172266667,273.6379073764411,SAI
22,291.64828095999997,294.3521358072829,ALO
23,301.44976865185185,313.1357376912414,ALO
24,305.37500003137256,326.0088625185185,ALO
25,306.48333333333335,,SAI
