Minisector,VET,RAI,Fastest
0,237.7417690810333,235.36296355555555,VET
1,286.99526535757576,285.9067179218574,VET
2,299.90884353741495,298.0747024761905,VET
3,305.6155410847494,303.13401794285716,VET
4,280.8042660713023,273.3605684095014,VET
5,169.65067222593183,176.21921986499441,RAI
6,264.1051455366588,265.8526292952381,RAI
7,284.7706440242424,283.5069867979451,VET
8,219.66172942562525,214.4462322863711,VET
9,219.9605235755102,224.13179157704323,RAI
10,193.54259204582397,188.6633045557423,VET
11,226.80531630344828,229.83477710769233,RAI
12,208.52713475655963,209.40187209750658,RAI
13,221.47033987699706,217.25950703164008,VET
14,230.82067919012346,225.07976323809524,VET
15,182.5308869573014,182.36666615424838,VET
16,249.15288467692307,248.81201518397393,VET
17,294.17611242102913,291.75102843290045,VET
18,310.61719296,308.57062522666666,VET
19,308.042326235889,294.6604406428088,VET
20,130.0148198429421,130.87656997263386,RAI
21,166.96654493440224,164.6058694330264,VET
22,157.3028860147174,152.5159928651909,VET
23,209.46427622465808,204.40372063883083,VET
24,145.83221766991144,143.0096652551532,VET
