Minisector,RAI,VET,Fastest
0,300.6454054046011,303.08879134986194,VET
1,301.57537881212124,305.45535524436804,VET
2,260.14197955056477,263.8313911552057,VET
3,153.09278807492333,150.8025054215179,RAI
4,171.92643247338108,165.59179130453606,RAI
5,213.9893583814609,210.61964495320552,RAI
6,230.0302969710855,237.05232342073728,VET
7,211.97422344332597,210.7649139421658,RAI
8,264.0563966635269,259.8949376511689,RAI
9,258.42908472573015,259.357372014652,VET
10,271.7290178985239,275.66956487287786,VET
11,274.5322915047619,278.1902514841581,VET
12,270.02378498412696,277.7921331829707,VET
13,254.40346696213814,267.74825563532954,VET
14,172.76234652730923,169.44722460698372,RAI
15,240.29293784183915,236.9160030239851,RAI
16,204.6380945467204,200.35415486001548,RAI
17,169.96626572408036,167.8527124606675,RAI
18,255.81867245216824,255.88814034285713,VET
19,284.21847159867895,284.4671968098395,VET
20,244.80872035837743,246.26719153157637,VET
21,188.32651682601312,188.42125638057934,VET
22,258.7209130640979,258.73585103589744,VET
23,285.0586910033483,286.0718035210532,VET
24,296.5261126757764,298.9642045575758,VET
