Minisector,VER,HAM,Fastest
0,271.48414440624555,274.5333773209529,HAM
1,296.5654916480808,299.57956079999997,HAM
2,311.6037617579965,312.267768167619,HAM
3,318.0357378979744,318.4057417804422,HAM
4,322.3868590993007,321.0956737429302,VER
5,323.89579476389343,322.6861111365079,VER
6,194.50472123500995,199.05725918837027,HAM
7,107.11940648909771,107.0364613600938,VER
8,184.9400874999034,189.7773940694171,HAM
9,259.994010689801,262.5665657050505,HAM
10,289.2889396997442,290.62218547092436,HAM
11,169.96066052568543,158.10195080360845,VER
12,100.76607765938321,96.5904776026822,VER
13,114.53758203985608,112.87925760912913,VER
14,220.4414608795228,224.68295797493732,HAM
15,188.2417106070226,184.67838749634086,VER
16,223.89554622713754,226.8809652603509,HAM
17,176.82495946481052,178.6336200902052,HAM
18,234.51729000973543,234.50101128698412,VER
19,273.9344899063168,278.2644261928572,HAM
20,241.36229764571428,228.51865490777033,VER
21,144.87592633223778,142.89965716563236,VER
22,95.70110987911364,95.4100068283111,VER
23,124.88632413370064,122.12741599450202,VER
24,222.994038631101,226.4950705347973,HAM
25,254.52142994285714,257.30192196923076,HAM
