Minisector,HAM,HUL,Fastest
0,133.70193195669518,134.88674235479365,HUL
1,153.2395886556322,175.51370443851852,HUL
2,212.40800963838635,226.41893974564695,HUL
3,245.79558732698413,255.23645871111114,HUL
4,271.2872164,279.025439251462,HUL
5,283.6812809333292,299.6964708894117,HUL
6,307.0734384,311.7968379952569,HUL
7,315.04009509285714,314.1395834666667,HAM
8,319.50269243076923,325.48066679466666,HUL
9,320.69437488,328.61458355555555,HUL
10,319.4906047587097,330.4447104615384,HUL
11,269.7033233066667,231.09808449523808,HAM
12,199.13463193777454,122.5489913943834,HAM
13,107.39231820057971,96.4585731997713,HAM
14,94.76065602454202,164.46910750984128,HUL
15,135.10931230592288,232.45552872457142,HUL
16,182.75729288205127,255.23114092431078,HUL
17,214.7206192549761,261.2397362863158,HUL
18,236.71521780869566,201.36597071111112,HAM
19,209.61904761904762,131.15923735987934,HAM
20,147.4223664746902,123.56455378423453,HAM
21,123.18263174736842,163.25396893121692,HUL
22,142.8436556848485,206.44500096000002,HUL
23,197.43593984447844,243.50891355826087,HUL
24,229.23339442705313,270.9388404535077,HUL
25,,282.1163163621053,HUL
26,,300.90989586666666,HUL
27,,301.6215266666667,HUL
