Minisector,RUS,PIA,Fastest
0,313.19795382671384,252.34279182467336,RUS
1,185.90813894954823,122.03792542103005,RUS
2,113.32973297478726,131.87854784251138,PIA
3,196.34892372156108,220.12183935095382,PIA
4,255.76882226748586,269.14020971636364,PIA
5,287.6775520950051,292.2144303894619,PIA
6,304.42838538095236,303.8605246957143,RUS
7,230.21673746919916,174.4799052935509,RUS
8,143.33029356611337,161.22894546182175,PIA
9,231.27135765386802,244.47273277543167,PIA
10,271.6127248082088,276.86029552571426,PIA
11,224.29164696899826,207.5631640972433,RUS
12,170.91540649548492,176.36161151117201,PIA
13,106.70171896084656,92.40115002882249,RUS
14,106.75429270553167,117.45095183779338,PIA
15,139.14595054607472,108.95353413653439,RUS
16,112.96383411255519,150.86480193042337,PIA
17,211.56171949482922,215.75626589459486,PIA
18,150.106114709963,130.8380185243024,RUS
19,144.72666630417578,186.02666555850556,PIA
20,244.34979069494952,255.31710874828283,PIA
21,276.4421293925926,280.0043759398257,PIA
22,295.0936612935245,297.73661295630956,PIA
23,306.312666432,305.80123255134197,RUS
24,312.4584490962963,310.39554392592595,RUS
