Minisector,BOT,SAI,Fastest
0,249.6927316597456,244.17442560688255,BOT
1,283.51902172753626,281.96862771489435,BOT
2,183.88194039814937,187.9715302469844,SAI
3,150.06069202859751,148.14296997477507,BOT
4,257.29382716049383,256.26959454195395,BOT
5,264.86336098694505,268.5910256410256,SAI
6,212.46458333333334,211.58019044964217,BOT
7,192.27617589169742,192.91372549019607,SAI
8,151.80313659030483,151.9402651561995,SAI
9,207.68333333333334,203.58822473667388,BOT
10,269.9984727089266,270.98419047619046,SAI
11,124.40862230494861,124.36120273913222,BOT
12,205.68846748552045,198.59331818385505,BOT
13,270.12586809052095,273.6536190476191,SAI
14,292.3539370222433,302.75963203463203,SAI
15,302.26213769275364,317.9234904726085,SAI
16,251.42887175727193,263.96217948717947,SAI
17,131.6322044558945,127.99417036065594,BOT
18,126.07580157636448,122.47726134974732,BOT
19,117.7870583273292,115.04569202259887,BOT
20,224.70597289720857,222.0274463311828,BOT
21,247.30052121289313,248.55555555555554,SAI
22,232.30909272906405,241.3478046738748,SAI
23,214.24230181371266,215.9171875,SAI
24,137.44186651919014,137.51662838506923,SAI
25,217.55,,BOT
