Minisector,PIA,HUL,Fastest
0,303.07624460720496,312.2021973267034,HUL
1,139.22729312674522,142.1566376529995,HUL
2,211.3151119808311,210.41973281333796,PIA
3,271.857040080202,272.1125388876951,HUL
4,310.24183106039624,310.4415051435585,HUL
5,316.5437320494686,315.5987457281946,PIA
6,145.96079780854927,149.64176407544466,HUL
7,237.3251408582369,244.9430429479651,HUL
8,111.83640716759457,122.24349949522092,HUL
9,143.78593585528515,136.96008572523667,PIA
10,271.37785314922735,266.65003356086135,PIA
11,295.901779464127,296.4566338999134,HUL
12,251.67264187798625,280.0476743022222,HUL
13,150.8445755160602,147.45261968476103,PIA
14,271.13217456716757,268.2813128303176,PIA
15,305.8635881916958,302.9035726247094,PIA
16,321.6876458155102,320.07286996679875,PIA
17,329.3618526247304,327.4051357079365,PIA
18,335.41177978666667,333.71219541125544,PIA
19,337.10853114897503,332.874542852987,PIA
20,229.02520965561763,253.24328833990782,HUL
21,154.55805110528152,145.15965505906485,PIA
22,271.2532397639548,267.3578525837933,PIA
23,311.1722722143245,306.8198260102564,PIA
24,325.05141227082254,322.7932658694372,PIA
25,,322.2989580533333,HUL
