Minisector,VER,HUL,Fastest
0,276.1631768911977,281.8252721158095,HUL
1,293.9612135670991,300.7035680419029,HUL
2,231.59789792420912,215.70532289422223,VER
3,114.48743845626315,105.73209608699808,VER
4,130.37340284342164,129.13107369921693,VER
5,245.0577537142457,249.95887485211418,HUL
6,253.75824914133332,248.53604058959706,VER
7,123.80514301516864,118.471903928694,VER
8,242.60808683521736,241.029371832071,VER
9,257.11014918521556,235.8399899898828,VER
10,211.0238971519951,188.54735377175632,VER
11,141.1290589872239,135.1439541475131,VER
12,199.98099467494646,201.66727617333333,HUL
13,258.4628580717745,262.6990747065628,HUL
14,113.0643510298298,110.38358018860553,VER
15,187.4494057496255,185.62651919063492,VER
16,253.15852848179787,253.83980073073596,HUL
17,285.22230755086514,288.00526429515526,HUL
18,298.78996305160507,303.7915123228497,HUL
19,304.93717535584415,312.3727548404344,HUL
20,307.40503475555556,316.4931954333835,HUL
21,176.80228691196726,151.14121478763883,VER
22,138.0516396517361,140.74839687353116,HUL
23,196.07928824482815,181.55425280310905,VER
24,230.0735899697163,229.54327919561328,VER
25,262.0250016,262.6500010666667,HUL
