Minisector,VER,HAM,Fastest
0,299.38985811855906,300.9833785154457,HAM
1,232.77819925210332,234.64661655931758,HAM
2,145.85752875365364,144.47278019937434,VER
3,226.2993035199823,223.16280782271892,VER
4,265.68559146564326,265.98172298001623,HAM
5,288.57849752688765,291.0636072296228,HAM
6,301.5858634694735,305.6183913155296,HAM
7,278.16715946666665,285.5165503717188,HAM
8,181.9361517602096,183.5635263607386,HAM
9,246.39267639258853,245.5747537325407,VER
10,276.93487023058356,274.2241464520154,VER
11,271.0436795620214,264.20799794473555,VER
12,218.0600040879023,213.39959655175798,VER
13,135.78010992535638,132.69252359693888,VER
14,134.33396906077922,130.6353447070586,VER
15,166.91426992304028,165.9959462473586,VER
16,130.69690645369062,131.36277993898918,HAM
17,235.17026572923973,236.53656856727176,HAM
18,190.6671044448127,187.59640909361704,VER
19,172.5939828354786,175.975535743522,HAM
20,251.73602494187284,250.9276211805162,VER
21,280.68998715226274,276.2262706171213,VER
22,293.7989578666667,292.69839491383385,VER
23,302.25019820130694,302.51054420965903,HAM
24,304.76999992888886,308.32675653816284,HAM
25,306.0,,VER
