Minisector,VER,BEA,Fastest
0,301.7771343931685,303.4945262192714,BEA
1,214.00811556176623,201.88619088350126,VER
2,144.12688249738665,146.433942594557,BEA
3,227.92910319200163,220.55092688675052,VER
4,171.60654869692496,160.4486559077692,VER
5,186.7380936614454,186.95962368877392,BEA
6,255.70968156571428,256.4060784539247,BEA
7,280.8862605115861,280.4311146844445,VER
8,287.8089323916904,287.1376301733333,VER
9,263.2149499957895,265.278582506567,BEA
10,252.02383141434993,253.2075064051948,BEA
11,245.68503601142078,243.93427824050124,VER
12,210.03670053169287,204.5287380605878,VER
13,132.67976874014659,130.56948925123442,VER
14,148.8546453244398,136.16527688793678,VER
15,178.25203537151992,182.8839319864655,BEA
16,249.8088551338658,256.8750726417927,BEA
17,248.15262874012285,232.5674211149228,VER
18,114.20218073061821,109.79580264474949,VER
19,202.2335788176021,196.40528725000678,VER
20,204.93176129273138,203.29007066419706,VER
21,236.04100651157842,239.74731211208598,BEA
22,267.24029722920636,271.195637124183,BEA
23,283.77851597355266,289.53950873142855,BEA
24,297.0811196133333,301.20198264996765,BEA
25,,304.0,BEA
