Minisector,TSU,SAI,Fastest
0,295.4778027701888,303.122000384,SAI
1,157.2813838103534,158.07269432916732,SAI
2,153.20495541022578,154.51417367795378,SAI
3,222.92390047215008,220.2501209701809,TSU
4,287.92373844821594,287.1915086428065,TSU
5,295.327999232,299.9351191055901,SAI
6,147.28599463018082,146.62871132698945,TSU
7,140.95339892558792,138.68249155458875,TSU
8,149.91375691948568,154.38567612838588,SAI
9,172.61225051730153,170.97703315421504,TSU
10,131.7164317455137,131.83712616385367,SAI
11,129.47397243263455,127.63205579722317,TSU
12,159.68945703949277,159.11490950523643,TSU
13,267.642335632201,265.65961706941454,TSU
14,292.4589507160494,293.50633335466665,SAI
15,152.43053351489363,153.94740063519006,SAI
16,207.60585556756757,209.8113602187122,SAI
17,166.59026948748615,162.71095942978874,TSU
18,271.09639486106454,267.48133312000004,TSU
19,295.0616988717949,294.0410218920635,TSU
20,308.43565750419845,308.2118392920076,TSU
21,316.40156253333333,315.71969696969694,TSU
22,319.68350697777777,317.9453201109212,TSU
23,322.48134061449275,323.0360660294372,SAI
24,321.2162525283644,324.3235159491336,SAI
25,318.81666666666666,324.2916664888889,SAI
