Minisector,ANT,SAI,Fastest
0,283.9924274007686,290.4217800292064,SAI
1,122.24907746695685,121.08651304408292,ANT
2,157.56203869497736,171.41489073277802,SAI
3,219.0728725093333,203.40938430052913,ANT
4,167.3800801232741,171.336914284058,SAI
5,240.08472581710714,242.97566206134488,SAI
6,213.11611333714288,221.635760122236,SAI
7,132.61180619948988,135.64834637368853,SAI
8,230.10698477809942,234.65502764682117,SAI
9,276.9987569340056,280.67789643970747,SAI
10,286.0966758050909,294.10690993837534,SAI
11,157.2218496287064,159.34986308756854,SAI
12,216.57969825972873,213.01564399898862,ANT
13,268.9206947294094,266.89741764,ANT
14,278.4180141150039,275.80795216724897,ANT
15,102.22650515429528,105.38441294444966,SAI
16,211.53281861642515,209.48103859164118,ANT
17,270.7864854934115,270.7730036801494,ANT
18,294.33177798162967,302.9555939894985,SAI
19,306.59937809608465,317.6155918787069,SAI
20,312.6723888872331,328.2631637212361,SAI
21,308.50475988625186,304.46274600799273,ANT
22,151.90993122555315,150.24733892343065,ANT
23,235.5195889870377,221.29989040880645,ANT
24,276.00979854285714,276.1368277679598,SAI
25,287.2977268363636,293.2343742666667,SAI
