Minisector,NOR,ALB,Fastest
0,285.46700840749514,280.0942705320415,NOR
1,301.6161456875421,289.1286409828571,NOR
2,244.9159169211487,238.77515199449735,NOR
3,115.45057504045144,113.16310592135866,NOR
4,133.67890977759498,137.707009032867,ALB
5,252.1883924063492,252.81893686739397,ALB
6,255.29882364305624,255.95178450229693,ALB
7,125.08584309850006,124.21024545808335,NOR
8,247.19938513720928,245.46209049292085,NOR
9,263.8730030015855,256.6434669695238,NOR
10,228.61843533964174,212.22815285498817,NOR
11,138.583409867183,142.2504084157491,ALB
12,204.33840450113584,206.82575809186784,ALB
13,268.00155831914753,264.37676082002065,NOR
14,117.78571269214511,118.27236983718129,ALB
15,188.70403948175087,192.09940262330048,ALB
16,262.79619912079727,259.6410280643386,NOR
17,291.4794025991111,291.76778479457136,ALB
18,304.1305407753005,304.40126978201056,ALB
19,311.1918274077193,311.6603900066165,ALB
20,312.52293348090427,314.40053924392157,ALB
21,187.3929429334588,164.9505117983067,NOR
22,144.33539512123676,140.57987813925678,NOR
23,209.754814233934,198.59624723398863,NOR
24,240.01577223987118,240.65609684285712,ALB
25,273.14444373333333,,NOR
