Minisector,RUS,SAI,Fastest
0,267.00072539577246,268.12108772483367,SAI
1,285.80543923714924,290.93812821900286,SAI
2,288.6288145352765,293.4373791857364,SAI
3,121.16681496713424,119.59126402400278,RUS
4,192.70461909336112,194.4870035315044,SAI
5,243.58764817407192,255.93540161056808,SAI
6,137.91373812124388,134.54906455771237,RUS
7,206.24893879452793,199.74842255704206,RUS
8,255.22136670155388,256.89033183800706,SAI
9,273.46800945945995,279.700047307495,SAI
10,223.83014373763976,228.0349965008291,SAI
11,177.93295437790977,173.0666018714012,RUS
12,192.1085801713207,190.5334506420038,RUS
13,145.3839642211627,141.38662890854167,RUS
14,174.24826966544566,179.4994089014474,SAI
15,159.46843183637745,157.5301449974202,RUS
16,212.71464291878942,214.97967747434618,SAI
17,221.51907353752262,228.46522014790486,SAI
18,231.1597441902854,240.1236530629895,SAI
19,241.15617867198515,228.94660764277074,RUS
20,149.79540303370317,140.62250814309397,RUS
21,130.82985364619537,130.9902449199022,SAI
22,170.37433810305427,164.93364046409445,RUS
23,150.5312977197722,147.31603279125773,RUS
24,228.21752811606063,223.2730210301651,RUS
