Minisector,HAM,LEC,Fastest
0,277.55661612133923,276.2683723843736,HAM
1,300.0185710322909,302.46295471169464,LEC
2,291.47793478647344,299.9722673106418,LEC
3,168.23876062578495,182.58698061960473,LEC
4,117.34963261845421,113.60897876617766,HAM
5,236.4184976762407,232.2271242014839,HAM
6,292.0561565187846,293.81876541175177,LEC
7,311.91975238095233,311.04265846857146,HAM
8,174.5243401996212,174.71161406687588,LEC
9,139.96828747478867,131.78407074556802,HAM
10,249.22853471650794,245.31034274768766,HAM
11,290.4120787781361,287.82916744129716,HAM
12,306.9681001220767,306.4329048685714,HAM
13,280.52593003311966,281.58563904717573,LEC
14,298.5281003804124,294.6842257454545,HAM
15,304.07807560126986,296.72326721384314,HAM
16,249.81699094305867,260.19143245764155,LEC
17,224.01121587724057,222.73350425988778,HAM
18,281.68533997821305,281.66231168629844,HAM
19,313.0936248430487,313.4841157096109,LEC
20,321.60463133658584,324.21354653121693,LEC
21,222.1014719161245,218.03854623612122,HAM
22,252.0565162094768,254.02193725543273,LEC
23,139.31712521628504,131.02008930311814,HAM
24,203.49772279318904,199.05910001193786,HAM
25,251.0,253.6772706909091,LEC
