Minisector,VET,OCO,Fastest
0,296.180980738322,290.7130440811594,VET
1,313.9049907697198,312.2587502095238,VET
2,314.5783333333333,309.34874858666666,VET
3,183.0988923954772,174.94002740180088,VET
4,225.09520870076426,219.53829340598284,VET
5,209.00208381301883,197.20360816190475,VET
6,190.57163923493226,182.2347939128947,VET
7,220.3976455029974,214.36508619770115,VET
8,264.81542002135336,258.93992206492163,VET
9,262.2498512444444,257.87067488198295,VET
10,176.49619977099894,167.1766428491228,VET
11,245.1768028973471,243.20611503014263,VET
12,119.43646092028658,116.1463696515066,VET
13,232.99541179172132,235.38432115106227,OCO
14,280.3822714789201,280.9108661025799,OCO
15,292.5752164502165,289.72749015411256,VET
16,210.4265587924474,192.98388156229706,VET
17,188.96334776334777,185.1301179611605,VET
18,276.8043326937686,274.1936343924092,VET
19,301.7730952380952,303.5267852952381,OCO
20,312.8266910723505,316.2496801674792,OCO
21,313.2838095238095,315.58782929122805,OCO
22,275.15625,243.6678871244851,VET
23,116.86081716923078,117.61218742588812,OCO
24,249.45556115782458,247.00681944685715,VET
