Minisector,VER,HUL,Fastest
0,283.4477460723824,278.3082706003827,VER
1,256.82925114173327,247.42857804598148,VER
2,271.02640222399566,267.0932510201504,VER
3,285.7578431372549,275.39798642878753,VER
4,139.67639419753544,134.81274235190563,VER
5,209.51515844143066,213.4320297222633,HUL
6,263.815685731926,262.6895876266524,VER
7,284.9750179998168,281.28306876046133,VER
8,293.08243323999,288.76576112569575,VER
9,296.4398866083541,292.1076388740741,VER
10,288.8713254901961,263.4052136402092,VER
11,105.48422249835056,100.79221643079731,VER
12,220.47663188475536,225.844755405663,HUL
13,270.3466673497014,270.2689329696819,VER
14,275.24053924313375,258.7281424855764,VER
15,134.9038486317045,132.18581076418886,VER
16,214.4778552869872,206.8637863874053,VER
17,260.24212744401314,257.54658936150304,VER
18,263.9391697575667,239.14058507841267,VER
19,252.90727317480827,241.63954645002212,VER
20,153.76476745713072,141.43491459142695,VER
21,197.20416766917384,198.58347512994317,HUL
22,183.99356419419817,171.49930380727656,VER
23,198.79613249818115,191.9038208012024,VER
24,253.058552477193,253.3345900930248,HUL
25,273.7714304,,VER
