Minisector,VER,PER,Fastest
0,235.51600593748864,236.89905782365594,PER
1,284.93366626133337,284.91580100351416,VER
2,299.4076666819048,300.6941551639398,PER
3,303.1604167111111,307.35436057520894,PER
4,271.0021038576538,262.13631315538254,VER
5,169.59392200221484,169.01668160464112,VER
6,264.12082825393014,263.8902772938272,VER
7,283.029999872,283.1298076893773,PER
8,212.78995105065945,208.39908274938776,VER
9,222.3004831580402,221.29166213022455,VER
10,183.07887509435565,179.55443535602578,VER
11,228.24548887445675,225.64319778114213,VER
12,208.8970740345679,202.60581316184604,VER
13,217.47376443648227,207.46750093714286,VER
14,223.20410844292772,223.13719246901934,VER
15,177.9362452476111,175.1579848063426,VER
16,247.6613030592819,248.88563720706262,PER
17,287.40788064914284,289.1306873779582,PER
18,302.177833216,302.32191052628684,PER
19,294.2222240888889,284.81437083076923,VER
20,131.68841460952382,127.53679131458013,VER
21,162.85817933037626,157.5310743629729,VER
22,148.47892751580514,153.23092486374432,PER
23,204.56556267537414,198.75024945741472,VER
24,145.9797071982381,148.20043631169392,PER
25,180.49166293333334,191.53333759999998,PER
