Minisector,OCO,ALB,Fastest
0,289.8965990109091,296.6048723160503,ALB
1,205.315474623136,213.8346420580499,ALB
2,224.99739770487616,227.8606673927088,ALB
3,273.09093196841127,274.9836120685106,ALB
4,236.2282626145055,239.93670138758094,ALB
5,129.55879703993668,127.20501517862941,OCO
6,214.65561722823196,209.60817081872003,OCO
7,253.9607842094437,253.1198812612472,OCO
8,234.263066624903,230.8402996254284,OCO
9,230.18731086950208,229.41874449970052,OCO
10,273.36521138594964,271.99120802321994,OCO
11,293.067344152,292.5179398679494,OCO
12,302.20169550358315,304.7613931088254,ALB
13,307.0737745568627,310.8597511296494,ALB
14,306.5710797791784,306.6669245710812,ALB
15,254.608838951342,247.84308467442057,OCO
16,235.299486363982,233.14670216666664,OCO
17,275.9308968853333,275.7795371167457,OCO
18,288.60729423665896,288.32420991788524,OCO
19,152.37193451466712,146.29558726249826,OCO
20,206.84994368113342,207.45020488156985,ALB
21,184.16915536679235,171.7430539333839,OCO
22,138.72991595210192,142.80350113317365,ALB
23,234.24084932210687,237.84085740495863,ALB
24,276.91678119757574,280.19172583298246,ALB
