Minisector,SAI,LEC,Fastest
0,253.32794929953602,252.44625272681142,SAI
1,209.57329145334444,217.80942104035555,LEC
2,206.18897836011115,202.92168898150118,SAI
3,256.2089444947908,255.6450012248804,SAI
4,272.2947852909926,270.7699998526984,SAI
5,292.2242902421094,289.588783109418,SAI
6,168.63826579742496,154.16346176766427,SAI
7,184.78419678756114,162.61051040263374,SAI
8,268.6782728,265.7285965213362,SAI
9,297.2232691404147,295.4379774625801,SAI
10,308.33311926245426,308.24275360551917,SAI
11,313.67174259745366,312.1596180724059,SAI
12,110.81633314135873,117.07674519617562,LEC
13,196.99474288298978,196.24068319762017,SAI
14,272.57147942647345,270.18607330954876,SAI
15,296.68717434180707,294.4591337072727,SAI
16,302.7685755507181,301.85350993868974,SAI
17,187.52025930446842,187.03710474398187,SAI
18,220.46330744396937,218.76424957644315,SAI
19,272.27754494439074,269.75289163959593,SAI
20,149.74897415623823,141.98505176349897,SAI
21,146.86190812653302,145.39777839362273,SAI
22,226.6684225184051,222.0206548068687,SAI
23,233.94158558118787,229.74553140513575,SAI
24,156.77025251576148,163.57577631043077,LEC
