Minisector,BOT,ZHO,Fastest
0,292.05621791322244,287.99708257829485,BOT
1,302.73642365549955,296.7718796062156,BOT
2,284.01602118084605,278.6314242266474,BOT
3,103.26461307424297,105.76234073035629,ZHO
4,219.29369595282054,219.13095024344594,BOT
5,277.5072794949348,268.71025074444447,BOT
6,212.04589058478382,211.5167707697218,BOT
7,155.4704834441492,157.19839122560813,ZHO
8,202.19105492801478,206.33993446062377,ZHO
9,214.26402420215874,211.27556633540846,BOT
10,112.0660949303407,116.30350285266573,ZHO
11,227.84172305150278,224.9451517655967,BOT
12,116.31394141811255,115.25020970811559,BOT
13,222.6421650918821,215.2977815284849,BOT
14,284.3560185471193,270.64696597092734,BOT
15,207.3343922401229,218.28087814048595,ZHO
16,183.90263059591837,178.65022975970615,BOT
17,246.96818422285716,242.265121382196,BOT
18,190.24305768802563,206.15527937548387,ZHO
19,174.10401282425704,172.99051311687418,BOT
20,260.5611274835466,256.1160741596135,BOT
21,289.8506428823189,282.52821391109717,BOT
22,164.5896233854678,173.35683799177653,ZHO
23,208.96318036565017,201.12427527074829,BOT
24,275.4107135068783,267.0791165797524,BOT
25,293.19791733333335,281.1749994666667,BOT
