Minisector,RIC,VET,Fastest
0,277.98586949565214,278.3952726510947,VET
1,293.11777237602496,295.85768951150317,VET
2,239.69733307733333,233.62115223288555,RIC
3,119.85583988216939,115.71665541666941,RIC
4,135.3861672714205,136.359398648062,VET
5,248.98866608253968,249.4728259246377,VET
6,257.5112235836876,255.96503638260867,RIC
7,129.93877080852798,125.38921182163705,RIC
8,247.20398608695652,247.18549122539682,RIC
9,265.891856,248.92254142277434,RIC
10,222.43128845573622,205.55818942528737,RIC
11,145.49212629118784,137.89978759909297,RIC
12,209.9557286071326,208.52371588883798,RIC
13,263.6761620208617,261.57331792298135,RIC
14,124.81225963034295,114.03954247469653,RIC
15,190.28362001051087,188.90527023447063,RIC
16,254.84274670422045,257.0057280421249,VET
17,285.4889928048344,289.9721429790476,VET
18,296.1120615298246,306.0991227508772,VET
19,300.22785094736844,313.4689850706767,VET
20,303.6997917333333,317.4213237249904,VET
21,189.3967130120062,152.2796720187568,RIC
22,137.3658699114048,160.4435854647586,VET
23,209.23009339373147,197.30970677657314,RIC
24,235.66344106971428,237.10985307777779,VET
25,264.35,,RIC
