Minisector,MAG,RIC,Fastest
0,300.6930182269388,285.1137153154638,MAG
1,311.39634779076925,293.8371326117647,MAG
2,157.2254763052101,159.5436183288548,RIC
3,214.11558926524413,215.4969349983976,RIC
4,280.41659633333336,269.6846464646465,MAG
5,307.11055643697483,294.25464517727386,MAG
6,319.2457144990476,302.48362661925927,MAG
7,162.58732593982592,173.9666740892659,RIC
8,119.73342521916713,104.96796077661742,MAG
9,248.12629363809523,247.34411187916908,MAG
10,296.44289700050876,285.4227664197531,MAG
11,310.4141965924233,298.28828571428573,MAG
12,139.01468788448074,147.49655493930425,RIC
13,187.25865845343915,177.83985665580056,MAG
14,253.19485376533333,253.49688898165417,RIC
15,191.3002875111619,197.80849661754388,RIC
16,200.25639681720057,206.05195416540212,RIC
17,199.9753065976889,196.40791932307692,MAG
18,232.57690272,228.8634086690909,MAG
19,272.73312803151464,271.6130830648889,MAG
20,293.45793090979896,292.41466931216934,MAG
21,256.7442911673651,247.29313617608466,MAG
22,210.55658849231276,213.61083810920636,RIC
23,197.651503188937,201.01884537542944,RIC
24,266.6394531396949,258.4000310920635,MAG
25,,277.88500096,RIC
