Minisector,HAM,PER,Fastest
0,293.42067343946127,306.3261905710053,PER
1,212.02559322723917,210.69279362044983,HAM
2,143.86191176950229,136.44185057324535,HAM
3,218.7246012657085,217.74559006407196,HAM
4,160.34824718753785,151.45804801176334,HAM
5,183.33173404848483,173.42477501886557,HAM
6,247.94889142454758,249.8039828088889,PER
7,273.09295067375797,277.98624473565405,PER
8,279.1791609765854,287.76676489680676,PER
9,261.6580785740289,264.69729106666665,PER
10,242.7716508082251,244.1464697000055,PER
11,241.65760318423276,242.15950336481202,PER
12,209.6806267295046,205.15489471446116,HAM
13,137.83121366395383,134.41242491769518,HAM
14,148.99247288081511,141.60062157367827,HAM
15,175.67351987734185,182.14260447725286,PER
16,245.54847121402386,256.9472486371985,PER
17,238.38896975413627,234.17848878730157,HAM
18,115.3726389760521,110.51436141499022,HAM
19,191.28200450424242,199.3776693346451,PER
20,201.80723019802744,187.80253161597545,HAM
21,232.76866123753845,234.25673592007752,PER
22,259.75778468414455,272.96523313800424,PER
23,276.89533703988457,297.67700125456656,PER
24,288.7596195163359,314.06797517377856,PER
