Minisector,SAI,RIC,Fastest
0,312.5353164600823,312.24769650516885,SAI
1,235.0895706247737,227.99111393733511,SAI
2,132.02538136495357,138.56809320433877,RIC
3,221.84879960401395,222.2283208024247,RIC
4,267.38726957615023,263.0345019008957,SAI
5,292.76299749955314,288.42916613333335,SAI
6,306.5544444444444,304.7641091588552,SAI
7,272.0605709893253,271.9707471337989,SAI
8,169.27621780108925,174.97539490564492,RIC
9,243.68251554644203,242.95691311116784,SAI
10,271.538935667934,273.7533650800445,RIC
11,256.50272524173107,256.7547177275071,RIC
12,203.80089739686605,202.80995516634582,SAI
13,125.59257865018508,128.47659270536525,RIC
14,122.77861680437013,125.4081462766399,RIC
15,162.79798472632584,172.23437114276246,RIC
16,125.26344055639986,123.489877601346,SAI
17,227.06144558288236,223.8774275659569,SAI
18,180.46015301482032,189.11301445990085,RIC
19,162.12030464545433,161.85487534507413,SAI
20,250.42656422149125,246.53001422778115,SAI
21,279.613330187894,275.8361907909546,SAI
22,295.2366666666667,292.86111630237866,SAI
23,303.08919994416283,302.83578521193897,SAI
24,307.1763889777778,308.7489969991832,RIC
25,309.0,311.0,RIC
