Minisector,PER,GAS,Fastest
0,236.89905782365594,235.92100173249108,PER
1,284.91580100351416,283.5285947211303,PER
2,300.6941551639398,297.61133329066666,PER
3,307.35436057520894,305.12961314920636,PER
4,262.13631315538254,269.6795195625737,GAS
5,169.01668160464112,167.92222716219513,PER
6,263.8902772938272,263.6710287637355,PER
7,283.1298076893773,281.79980800237826,PER
8,208.39908274938776,216.78197597045695,GAS
9,221.29166213022455,222.35351880948394,GAS
10,179.29518095222025,185.58678157432337,GAS
11,227.47281690956606,229.4381002419751,GAS
12,202.60581316184604,202.38600249296877,PER
13,207.46750093714286,211.6683360184668,GAS
14,223.13719246901934,224.82600217514454,GAS
15,175.1579848063426,181.8291600596703,GAS
16,248.88563720706262,251.02969413034074,GAS
17,289.1306873779582,288.2633335466667,PER
18,302.32191052628684,301.1719202318841,PER
19,284.81437083076923,290.4702461733732,GAS
20,127.53679131458013,127.91703827775197,GAS
21,157.5310743629729,161.49410487793807,GAS
22,154.96218169075686,150.74335661318378,PER
23,197.78133739590342,200.82634519769695,GAS
24,148.20043631169392,147.41416637535937,PER
25,191.53333759999998,,PER
