Minisector,BOT,RAI,Fastest
0,285.03783059504764,296.62954490735933,RAI
1,164.51712161143539,156.05297421696213,BOT
2,155.0219409027613,153.72406289377082,BOT
3,220.83378230204082,219.12417515928263,BOT
4,280.2687504484848,281.6433172848485,RAI
5,284.01840146666666,294.7462001903342,RAI
6,149.16235345053673,147.13504932634373,BOT
7,144.82990567757577,138.53143093499352,BOT
8,145.2354829326257,156.07806800609893,RAI
9,192.76228353960636,166.83503016165272,BOT
10,130.7313900345967,133.8210949527159,RAI
11,122.9382293425685,129.16020829041645,RAI
12,174.28531037877653,151.33873926953518,BOT
13,268.0104169333333,259.99287897568007,BOT
14,285.43985658863744,288.0454008311688,RAI
15,155.9459785738849,160.77566712123993,RAI
16,203.15727536625624,215.93080083060633,RAI
17,183.33177617447566,160.47244590011616,BOT
18,273.0990336976566,263.82383540952384,BOT
19,293.2699529293802,291.7809528727273,BOT
20,308.00122190828546,303.86825417142853,BOT
21,316.7425739468271,312.5500893942857,BOT
22,317.5761056103422,316.5207590062951,BOT
23,322.77893511111114,318.6324998933334,BOT
24,324.13172607238096,319.475,BOT
25,320.0,319.0,BOT
