Minisector,BOT,GAS,Fastest
0,264.855633362963,263.6440829131653,BOT
1,297.4876740279838,293.2515620666667,BOT
2,313.2023365737878,315.36209208970894,GAS
3,323.15154784507934,330.2445514666667,GAS
4,329.60119055238096,338.9911988136054,GAS
5,332.35714285714283,344.20554036043956,GAS
6,282.6164409904762,291.2247951603672,GAS
7,114.83643071405977,115.8101682984127,GAS
8,151.7015284977778,156.35287271724135,GAS
9,251.40739412153607,257.2599523386243,GAS
10,289.92000035555554,298.0018193049882,GAS
11,243.81270672,242.72159669064655,BOT
12,94.23296588199207,93.5957356750243,BOT
13,110.47669409160144,112.37995305614487,GAS
14,212.00229974718613,215.8014569066667,GAS
15,194.80231427626376,185.67569449817057,BOT
16,224.27460317460316,220.9263885206349,BOT
17,193.21483206984126,188.39183651442843,BOT
18,225.41048500809393,224.74416544000002,BOT
19,276.0509525938254,273.33918600634917,BOT
20,295.14166666666665,283.37519985022567,BOT
21,157.85605415303777,150.78823471238096,BOT
22,101.41019003177736,103.43263446189533,GAS
23,119.84669487059865,123.02723856874505,GAS
24,206.1003070108609,206.56231019220778,GAS
