Minisector,VER,OCO,Fastest
0,292.2906127032181,292.8197994880576,OCO
1,301.68642401735934,304.0668686847619,OCO
2,306.21821425142855,309.8550068614617,OCO
3,307.1267970509804,304.51173197714286,VER
4,176.01992609381347,163.64271688754434,VER
5,211.74085115566595,197.64776819129392,VER
6,242.69555784281573,233.54260680709203,VER
7,267.77923237028614,265.7172895154765,VER
8,256.61514146742854,253.15884588188064,VER
9,164.54775483965372,157.6709606805375,VER
10,229.165047265526,218.45226975933747,VER
11,129.61305489924825,122.84650028765229,VER
12,229.62730079346585,222.24791457289376,VER
13,185.49525954551729,178.40244130674213,VER
14,213.26990956906738,206.66025594433017,VER
15,247.7983910745298,238.47833557709316,VER
16,265.208204184127,260.8729161498413,VER
17,287.98586781795416,283.011434957037,VER
18,158.90663209332425,158.79221312790122,VER
19,166.61143064689185,159.3285536751437,VER
20,139.515669376951,133.97822516406956,VER
21,224.0290949381829,225.85537048728744,OCO
22,263.3438202756302,264.24492441022556,OCO
23,258.86214291777213,247.5789762884295,VER
24,277.208463389899,272.8024750556863,VER
25,,285.24999893333336,OCO
