Minisector,ANT,TSU,Fastest
0,309.41602025396827,289.9369453657143,ANT
1,160.39678572239492,163.5627567217516,TSU
2,153.0390170635358,156.13202498388694,TSU
3,237.14775486224485,238.4047651879243,TSU
4,290.6510734172135,289.7388644920029,ANT
5,283.3620522888808,282.70816413671844,ANT
6,145.71010102713956,145.73106316470097,TSU
7,152.18749860827216,137.23143597478693,ANT
8,137.59636338959905,144.99077402809132,TSU
9,199.1647418084764,191.37481877848413,ANT
10,126.29951629669648,133.17032786639746,TSU
11,126.7899132641638,128.19775403117237,TSU
12,172.10723630756968,171.97227489218497,ANT
13,271.05879799180434,270.3141121544846,ANT
14,296.61144386253534,293.23871046470606,ANT
15,144.80223101355196,150.46639522435964,TSU
16,208.72405108718277,203.92491622977374,ANT
17,176.512212215522,165.0723835573757,ANT
18,271.97601164765734,270.9607986111111,ANT
19,297.4444284901194,296.9262784228565,ANT
20,311.67786130856655,311.3862131251628,ANT
21,321.55629748338083,320.33699700408664,ANT
22,326.1721522336258,326.0339225346536,ANT
23,330.0993252286967,334.7884131584416,TSU
24,329.56747878341014,340.3715131929038,TSU
25,,342.4675812225048,TSU
