Minisector,RUS,NOR,Fastest
0,294.298249984,298.50590027203475,NOR
1,207.09914936565656,206.4051817333333,RUS
2,141.9098323661516,138.13649755836224,RUS
3,217.10415584415585,215.93985595370242,RUS
4,161.0786422002782,154.45534623837366,RUS
5,184.78537374337662,181.28735561567674,RUS
6,253.6007837171227,253.88968286234976,NOR
7,277.1544668908151,277.36434116929877,NOR
8,282.9093694335097,284.43359269925924,NOR
9,267.3787831675186,257.3683346719564,RUS
10,253.99993571676492,241.04755475575632,RUS
11,245.7747892278697,238.0926336023585,RUS
12,208.877175787961,202.23285662823363,RUS
13,134.00586306009583,133.17249286486486,RUS
14,144.63403515670302,137.9442084297933,RUS
15,177.55694822162965,185.30979679800254,NOR
16,250.54436870927103,259.8034541827819,NOR
17,231.6338289719662,235.2261056956862,NOR
18,112.53959254925012,110.57570283315697,RUS
19,203.344598043366,206.22465530310302,NOR
20,198.61701201586027,186.29452265703566,RUS
21,234.38888234240363,229.3936872338614,RUS
22,263.43168232903827,269.96657241046205,NOR
23,279.96933152999287,293.6578350486085,NOR
24,289.5482239494431,312.92542653712593,NOR
