Minisector,BOT,SAI,Fastest
0,275.71625026545854,274.3979332969428,BOT
1,288.6974303825123,289.08118280084653,SAI
2,288.5151620029283,284.6467446088596,BOT
3,183.58537151826408,174.37505451029972,BOT
4,138.81535320837335,133.33130566817292,BOT
5,244.5397075942721,246.3994159325705,SAI
6,282.606285624788,282.0289229241796,BOT
7,293.57367156567926,281.1726200278177,BOT
8,191.6559800079815,177.08361664242446,BOT
9,154.90396246326546,147.0244597094782,BOT
10,254.84580071460948,254.41490427034645,BOT
11,284.25519376008657,284.4552269468453,SAI
12,294.0973015890966,287.62909214225897,BOT
13,289.0307594020967,275.25442483219393,BOT
14,299.3324386736091,291.2363219367267,BOT
15,297.4203868473116,299.0210307224268,SAI
16,264.29447770077894,263.17466332989784,BOT
17,241.83076652335546,240.06143174826366,BOT
18,282.63835490742605,283.200673905681,SAI
19,299.964963082036,300.46522807038554,SAI
20,306.87043722151776,304.49142633509433,BOT
21,253.25237165039286,228.05626651693703,BOT
22,267.3553685497707,259.32163104894397,BOT
23,140.50167038791304,137.50847582647413,BOT
24,225.51099242138702,227.0651085649908,SAI
