Minisector,TSU,NOR,Fastest
0,289.9369453657143,290.8162354261396,NOR
1,163.5627567217516,158.25735923074157,TSU
2,156.13202498388694,155.98530707131457,TSU
3,238.4047651879243,229.91023135854556,TSU
4,289.7388644920029,295.1121899583893,NOR
5,282.70816413671844,290.4357946503585,NOR
6,146.17556166077952,145.2505593949108,TSU
7,136.61396861057756,137.5252021175999,NOR
8,143.44280990553943,139.37731038561975,TSU
9,198.14140407823518,181.54468424988153,TSU
10,132.87992137306952,131.26866572712478,TSU
11,125.48291217874728,131.07149999898562,NOR
12,175.74524786515795,169.32764321286695,TSU
13,271.4909746380315,269.1108551946361,TSU
14,292.9096781708558,293.4101429507401,NOR
15,147.99271101383334,148.16292926278524,NOR
16,199.37815545473615,211.1211982244936,NOR
17,171.2911381361303,163.61642957237274,TSU
18,273.1863257575758,268.03367395585883,TSU
19,297.2773097957758,296.8415742359109,TSU
20,312.18683980129174,311.03926069509765,TSU
21,320.837704478647,319.66916130573463,TSU
22,326.2018317844862,326.97977700639274,NOR
23,335.0013496497751,337.9179891114817,NOR
24,340.6075786723122,341.07398344573653,NOR
25,342.51371578395657,341.121183844722,TSU
