Minisector,SAI,LAT,Fastest
0,270.69985987465424,268.9483325333333,SAI
1,290.5658964526611,289.8476504880708,SAI
2,298.8521382163261,295.80637032535907,SAI
3,123.2010467658935,123.06062902156836,SAI
4,191.57715745185183,189.04269965315999,SAI
5,254.5928678235818,248.34461710366816,SAI
6,139.1792252936531,141.78918836993708,LAT
7,202.77408240437936,195.02228636730524,SAI
8,257.1785705650794,256.4082788414836,SAI
9,278.85581157427913,273.2782927775868,SAI
10,231.83392788210537,228.11699985066664,SAI
11,177.70378636413727,171.59666128680075,SAI
12,191.97534571168066,184.42286543448276,SAI
13,147.26549301445584,144.32979110818215,SAI
14,175.98634830131368,170.8500776232011,SAI
15,162.78287560258667,157.26736187102415,SAI
16,216.28885426481452,214.24220200438663,SAI
17,230.4461092789843,222.74144743407732,SAI
18,236.87563681135626,231.3437459069564,SAI
19,239.5113662060606,239.32618116810286,SAI
20,139.16747385530928,140.33884503512098,LAT
21,133.54093156078056,134.82514967238097,LAT
22,171.67499896888887,164.20189695163336,SAI
23,146.55897464456476,147.51576856576304,LAT
24,229.03100030476193,222.80143107340052,SAI
25,,255.35000000000002,LAT
