Minisector,HAD,GAS,Fastest
0,280.42188096628036,277.04848555499933,HAD
1,287.62189117254525,295.8718576635638,GAS
2,273.3648128051098,276.19967778411575,GAS
3,174.14522480774056,162.6073092983513,HAD
4,116.22647836035298,112.04011095624143,HAD
5,244.25856073612465,236.38734781084065,HAD
6,285.8601324901587,288.08672611301824,GAS
7,291.8989922873252,289.6091827616036,HAD
8,175.80023461869487,165.12761858373514,HAD
9,140.53437143710602,131.10479323478964,HAD
10,257.76695751566376,244.584767323623,HAD
11,292.22595248761905,293.57373564561544,GAS
12,292.95138828270177,297.4099177728858,GAS
13,267.67752550937814,261.6390906556264,HAD
14,281.3620535714286,285.2168637224016,GAS
15,276.43307166333966,280.43887838904715,GAS
16,245.48765432098767,236.6126429442167,HAD
17,219.06336697747128,212.57934370126878,HAD
18,275.55518922358857,278.5255660586226,GAS
19,297.4031570858035,300.09283206865535,GAS
20,296.7013888888889,299.3700265531279,GAS
21,228.856237597551,212.8089688431746,HAD
22,238.21803412557574,236.51187219744105,HAD
23,134.160701360842,130.79406773139408,HAD
24,213.2107631709789,205.22051793873757,HAD
